Month,Forward_Peak,Forward_OffPeak
2026-02-01,66.38,59.84
2026-03-01,47.9,37.77
2026-04-01,47.59,36.67
2026-05-01,49.0,37.22
2026-06-01,52.13,39.89
2026-07-01,79.1,50.15
2026-08-01,112.37,66.49
2026-09-01,60.22,42.0
2026-10-01,44.56,36.83
2026-11-01,45.37,36.62
2026-12-01,51.64,41.75
2027-01-01,83.9,71.66
2027-02-01,79.46,67.44
2027-03-01,46.26,35.8
2027-04-01,44.53,32.47
2027-05-01,45.63,38.31
2027-06-01,51.39,44.21
2027-07-01,77.52,58.43
2027-08-01,104.08,60.8
2027-09-01,56.94,45.66
2027-10-01,44.31,35.09
2027-11-01,43.53,32.74
2027-12-01,50.65,37.75
2028-01-01,83.84,70.75
2028-02-01,81.57,68.58
2028-03-01,49.16,40.51
2028-04-01,47.9,32.74
2028-05-01,46.66,33.94
2028-06-01,53.5,39.59
2028-07-01,73.6,50.28
2028-08-01,97.57,56.06
2028-09-01,59.14,42.5
2028-10-01,46.49,38.32
2028-11-01,44.12,38.15
2028-12-01,49.49,42.35
2029-01-01,87.82,64.29
2029-02-01,79.89,65.84
2029-03-01,42.17,34.67
2029-04-01,41.37,31.12
2029-05-01,42.5,31.01
2029-06-01,54.39,37.63
2029-07-01,69.72,50.99
2029-08-01,86.06,58.32
2029-09-01,61.47,41.97
2029-10-01,42.43,34.77
2029-11-01,40.04,35.34
2029-12-01,44.6,41.59
2030-01-01,77.81,62.01
2030-02-01,81.01,65.52
2030-03-01,42.07,32.74
2030-04-01,38.74,29.38
2030-05-01,46.17,30.84
2030-06-01,58.45,35.21
2030-07-01,68.72,48.46
2030-08-01,87.21,57.24
2030-09-01,65.01,39.84
2030-10-01,40.58,32.91
2030-11-01,36.06,33.84
2030-12-01,43.55,40.48
