Month,Forward_Peak,Forward_OffPeak
2026-02-01,53.0,43.55
2026-03-01,43.45,31.5
2026-04-01,39.6,27.95
2026-05-01,41.55,28.15
2026-06-01,45.05,27.6
2026-07-01,66.9,36.3
2026-08-01,59.35,32.35
2026-09-01,46.55,27.3
2026-10-01,44.2,30.45
2026-11-01,43.8,33.8
2026-12-01,52.85,42.95
2027-01-01,73.9,64.2
2027-02-01,65.9,57.1
2027-03-01,44.8,34.7
2027-04-01,43.2,28.65
2027-05-01,46.55,28.65
2027-06-01,48.8,27.3
2027-07-01,73.15,36.45
2027-08-01,66.65,33.95
2027-09-01,48.85,29.5
2027-10-01,46.3,31.65
2027-11-01,46.05,35.5
2027-12-01,54.6,42.95
2028-01-01,76.21,67.74
2028-02-01,68.21,60.64
2028-03-01,47.11,38.24
2028-04-01,45.51,32.19
2028-05-01,48.86,32.19
2028-06-01,51.11,30.84
2028-07-01,75.46,39.99
2028-08-01,68.96,37.49
2028-09-01,51.16,33.04
2028-10-01,48.61,35.19
2028-11-01,48.36,39.04
2028-12-01,56.91,46.49
2029-01-01,68.86,61.19
2029-02-01,62.38,54.91
2029-03-01,43.62,35.45
2029-04-01,41.58,29.73
2029-05-01,44.6,30.61
2029-06-01,47.69,29.81
2029-07-01,68.99,38.48
2029-08-01,63.21,36.5
2029-09-01,47.68,30.86
2029-10-01,45.23,32.46
2029-11-01,45.89,36.59
2029-12-01,52.48,43.22
2030-01-01,62.09,54.08
2030-02-01,56.27,48.62
2030-03-01,40.72,30.7
2030-04-01,37.76,26.27
2030-05-01,41.54,27.62
2030-06-01,43.89,29.08
2030-07-01,62.88,37.66
2030-08-01,58.04,36.21
2030-09-01,43.94,29.59
2030-10-01,41.29,30.28
2030-11-01,43.64,35.88
2030-12-01,49.79,39.44
